4. January 2010 | 22:14:45 | Current JunkBuster configuration:
4. January 2010 | 22:14:45 | - WeaponHack = 1
4. January 2010 | 22:14:45 | - MoneyHack = 1
4. January 2010 | 22:14:45 | - Jetpack = 1
4. January 2010 | 22:14:45 | - HealthHack = 1
4. January 2010 | 22:14:45 | - ArmourHack = 1
4. January 2010 | 22:14:45 | - DriveBy = 1
4. January 2010 | 22:14:45 | - Spam = 1
4. January 2010 | 22:14:45 | - CommandSpam = 1
4. January 2010 | 22:14:45 | - BadWords = 0
4. January 2010 | 22:14:45 | - CarJackHack = 1
4. January 2010 | 22:14:45 | - TeleportHack = 1
4. January 2010 | 22:14:45 | - MaxPing = 450
4. January 2010 | 22:14:45 | - SpectateHack = 1
4. January 2010 | 22:14:45 | - Blacklist = 1
4. January 2010 | 22:14:45 | - IpBans = 1
4. January 2010 | 22:14:45 | - TempBans = 1
4. January 2010 | 22:14:45 | - SpawnKill = 3
4. January 2010 | 22:14:45 | - CapsLock = 1
4. January 2010 | 22:14:45 | - 3DSpeed = 0
4. January 2010 | 22:14:45 | - MaxSpeed = 220
4. January 2010 | 22:14:45 | - AdminImmunity = 1
4. January 2010 | 22:14:45 | - Advertisement = 0
4. January 2010 | 22:14:45 | - FreezeUpdate = 0
4. January 2010 | 22:14:45 | - SpawnTime = 10
4. January 2010 | 22:14:45 | 1 IP-bans have been loaded.
4. January 2010 | 22:14:45 | 1 temporary bans have been loaded.
4. January 2010 | 22:14:45 | 2 whitelist entries have been loaded.
4. January 2010 | 22:14:45 | 4 blacklist entries have been loaded.
4. January 2010 | 22:14:45 | 41 bad words have been loaded.
4. January 2010 | 22:14:45 | 4 forbidden weapons have been loaded.
4. January 2010 | 22:14:45 | JunkBuster has been configurated.
4. January 2010 | 22:14:45 | JunkBuster has successfully been loaded.
4. January 2010 | 22:16:01 | IP 94.9.63.18 has logged in as RCON-admin
4. January 2010 | 22:16:30 | [AS]Fisher has set variable 'SpawnKill' to 0.
4. January 2010 | 22:17:12 | Current JunkBuster configuration:
4. January 2010 | 22:17:12 | - WeaponHack = 1
4. January 2010 | 22:17:12 | - MoneyHack = 1
4. January 2010 | 22:17:12 | - Jetpack = 1
4. January 2010 | 22:17:12 | - HealthHack = 1
4. January 2010 | 22:17:12 | - ArmourHack = 1
4. January 2010 | 22:17:12 | - DriveBy = 1
4. January 2010 | 22:17:12 | - Spam = 1
4. January 2010 | 22:17:12 | - CommandSpam = 1
4. January 2010 | 22:17:12 | - BadWords = 0
4. January 2010 | 22:17:12 | - CarJackHack = 1
4. January 2010 | 22:17:12 | - TeleportHack = 1
4. January 2010 | 22:17:12 | - MaxPing = 450
4. January 2010 | 22:17:12 | - SpectateHack = 1
4. January 2010 | 22:17:12 | - Blacklist = 1
4. January 2010 | 22:17:12 | - IpBans = 1
4. January 2010 | 22:17:12 | - TempBans = 1
4. January 2010 | 22:17:12 | - SpawnKill = 0
4. January 2010 | 22:17:12 | - CapsLock = 1
4. January 2010 | 22:17:12 | - 3DSpeed = 0
4. January 2010 | 22:17:12 | - MaxSpeed = 220
4. January 2010 | 22:17:12 | - AdminImmunity = 1
4. January 2010 | 22:17:12 | - Advertisement = 0
4. January 2010 | 22:17:12 | - FreezeUpdate = 0
4. January 2010 | 22:17:12 | - SpawnTime = 10
4. January 2010 | 22:17:12 | JunkBuster configuration has been saved to file.
4. January 2010 | 22:26:59 | Current JunkBuster configuration:
4. January 2010 | 22:26:59 | - WeaponHack = 1
4. January 2010 | 22:26:59 | - MoneyHack = 1
4. January 2010 | 22:26:59 | - Jetpack = 1
4. January 2010 | 22:26:59 | - HealthHack = 1
4. January 2010 | 22:26:59 | - ArmourHack = 1
4. January 2010 | 22:26:59 | - DriveBy = 1
4. January 2010 | 22:26:59 | - Spam = 1
4. January 2010 | 22:26:59 | - CommandSpam = 1
4. January 2010 | 22:26:59 | - BadWords = 0
4. January 2010 | 22:26:59 | - CarJackHack = 1
4. January 2010 | 22:26:59 | - TeleportHack = 1
4. January 2010 | 22:26:59 | - MaxPing = 450
4. January 2010 | 22:26:59 | - SpectateHack = 1
4. January 2010 | 22:26:59 | - Blacklist = 1
4. January 2010 | 22:26:59 | - IpBans = 1
4. January 2010 | 22:26:59 | - TempBans = 1
4. January 2010 | 22:26:59 | - SpawnKill = 0
4. January 2010 | 22:26:59 | - CapsLock = 1
4. January 2010 | 22:26:59 | - 3DSpeed = 0
4. January 2010 | 22:26:59 | - MaxSpeed = 220
4. January 2010 | 22:26:59 | - AdminImmunity = 1
4. January 2010 | 22:26:59 | - Advertisement = 0
4. January 2010 | 22:26:59 | - FreezeUpdate = 0
4. January 2010 | 22:26:59 | - SpawnTime = 10
4. January 2010 | 22:26:59 | 1 IP-bans have been loaded.
4. January 2010 | 22:26:59 | 1 temporary bans have been loaded.
4. January 2010 | 22:26:59 | 2 whitelist entries have been loaded.
4. January 2010 | 22:26:59 | 4 blacklist entries have been loaded.
4. January 2010 | 22:26:59 | 41 bad words have been loaded.
4. January 2010 | 22:26:59 | 4 forbidden weapons have been loaded.
4. January 2010 | 22:26:59 | JunkBuster has been configurated.
